Origin,Dest,Reporting_Airline,TotalFlights,DelayedFlights,CancelledFlights,AvgDepDelay,AvgArrDelay
HOU,DAL,WN,4129,1726,85,12.289987639060568,5.286917740336968
DAL,HOU,WN,4124,1929,92,13.65163528245788,9.08036825080866
CLT,MCO,AA,4081,1987,75,20.622255489021956,17.151962009497627
MCO,CLT,AA,4077,1541,80,16.28975,12.477563299072449
DFW,LAS,AA,4073,2218,82,26.018277416124185,20.838895859473023
LAS,DFW,AA,4072,1413,85,22.97568312860366,15.516242760010073
DFW,AUS,AA,4062,2032,83,24.64154734991208,19.36871227364185
AUS,DFW,AA,4056,1286,87,24.680100755667507,23.751828499369484
HNL,OGG,WN,4020,775,30,-0.13781007266349285,-4.426422662321384
OGG,HNL,WN,4020,688,33,-0.11258776328986961,-4.267937782237833
DFW,ORD,AA,3982,1886,43,19.26548223350254,12.928226011707814
ATL,LAX,DL,3978,2008,26,13.570308548305514,5.896630352166202
ORD,DFW,AA,3975,1666,46,22.84464785151284,15.83201024327785
LAX,ATL,DL,3972,1838,25,12.656788247213779,5.720375539203248
SJC,SAN,WN,3892,1477,31,8.655618850336612,7.2274377593361
SAN,SMF,WN,3883,1757,21,11.718944099378882,8.01242879337131
SMF,SAN,WN,3871,1780,32,11.525891230809263,9.042786329246022
LAS,SAN,WN,3855,2108,31,14.516457680250785,11.720199109248101
SAN,SJC,WN,3845,1684,37,11.741994750656168,7.727607039663777
DEN,IAH,UA,3838,1713,54,14.038827258320127,9.947033898305085
IAH,DEN,UA,3837,1604,64,13.169581346051935,7.07845744680851
MCO,EWR,UA,3827,1424,124,16.75937415700027,8.458785249457701
EWR,MCO,UA,3826,1337,118,13.563038793103448,5.829011345218801
BOS,DCA,B6,3813,1163,58,9.766773162939296,4.3576194288764345
DCA,BOS,B6,3813,1239,62,13.808572949946752,5.926341072858286
DCA,ATL,DL,3811,1347,39,12.554082714740192,3.41635687732342
ATL,DCA,DL,3811,1414,36,11.833377483443709,10.472954969357847
SAN,LAS,WN,3807,1812,45,14.060058463991496,8.318266418505717
JAX,ATL,DL,3760,1151,42,8.082817961817693,3.8824320688727467
ATL,JAX,DL,3760,1451,41,10.140091422425384,8.178513731825525
ORD,IAH,UA,3757,1618,52,11.834906932829782,5.465236284627919
IAH,ORD,UA,3755,1551,49,14.464651915812196,8.779702300405955
BWI,MCO,WN,3735,2064,78,16.025143481825637,8.299726027397261
MCO,BWI,WN,3728,1896,78,13.8986856516977,6.36852207293666
LAS,DEN,WN,3721,1815,36,12.731614654002714,4.34465887469421
DEN,LAS,WN,3701,2055,35,15.184619580038179,8.591864591864592
CLT,RDU,AA,3699,1698,54,20.98217224355458,18.73620642327752
RDU,CLT,AA,3698,1431,55,18.41124828532236,14.014552443712246
ATL,PBI,DL,3692,1462,40,12.294633077765608,8.376887180894867
PBI,ATL,DL,3691,1114,41,8.935616438356165,4.179923203510697
CLT,DFW,AA,3690,1869,55,19.481858163826278,13.670721592479955
DFW,CLT,AA,3684,1914,54,22.05284888521883,16.085840463704113
DFW,LGA,AA,3682,1796,92,18.352810239287702,9.712882402469829
LGA,DFW,AA,3681,1239,92,17.158231368186875,7.796244394618834
ATL,DTW,DL,3659,1487,18,9.908541609447953,5.485706432105553
DTW,ATL,DL,3652,1574,18,12.788937809576225,2.2016528925619836
SMF,LAS,WN,3649,1654,21,10.252480705622933,4.603419746276889
ATL,BOS,DL,3624,1630,21,12.693951165371809,4.596442468037798
BOS,ATL,DL,3623,1584,23,11.983888888888888,0.654424040066778
ORD,DEN,UA,3605,1584,64,15.328252893028507,7.464912280701754
DEN,ORD,UA,3601,1551,46,13.991279887482419,9.86420101637493
LAS,SMF,WN,3597,1879,16,12.972640982691233,4.035195530726257
PHX,LAS,WN,3588,1818,21,12.574151948416036,6.257992148065059
LAS,PHX,WN,3582,1829,31,13.104166666666666,5.340185863137145
DCA,BOS,YX,3534,707,51,5.518624641833811,-0.8913168487636572
BOS,DCA,YX,3533,585,47,3.1055348437051906,-0.16810344827586207
ATL,RDU,DL,3519,1130,20,7.591714285714286,4.878293241695304
RDU,ATL,DL,3517,1244,22,9.471530758226038,2.438842738470352
LAX,SEA,AS,3508,1112,63,5.873766686012768,1.4193548387096775
SEA,LAX,AS,3507,1598,54,9.316155182397221,4.339032164589974
SJC,LAX,OO,3498,635,1,2.1738633114097796,-2.058924485125858
MIA,DCA,AA,3494,1642,69,19.302420530766987,12.268485915492958
DCA,MIA,AA,3492,1240,73,16.895675043834014,8.458357771260998
LAX,SJC,OO,3476,741,1,3.355971223021583,0.4180823495537
MCO,DFW,AA,3475,1447,87,21.262909412806138,18.689093064611736
DFW,MCO,AA,3475,1930,83,26.32753537735849,22.929585798816568
CLT,TPA,AA,3473,1652,95,19.358473824312334,17.44747774480712
TPA,CLT,AA,3471,1272,102,17.12685240071132,14.689450222882614
LAX,SFO,OO,3455,1237,22,12.014560279557367,15.275264394829613
IAH,LAX,UA,3435,1592,70,15.62774806892454,9.024695031240702
LAX,IAH,UA,3434,922,73,6.563187630092179,-2.7245294293397073
SFO,LAX,OO,3424,1336,26,11.487345497351383,8.551531213191991
SFO,ORD,UA,3405,1442,48,11.822460530235329,1.9432157800358638
ORD,SFO,UA,3402,1681,47,18.232281119714116,10.39134328358209
EWR,IAH,UA,3402,1337,80,15.537304452466907,9.91711874623267
IAH,EWR,UA,3399,1719,88,22.295749170937594,13.600426049908704
OAK,LAS,WN,3397,1664,11,12.148848198464265,6.81955109273479
LAS,OAK,WN,3379,1935,8,14.75734203500445,7.505637982195846
SMF,LAX,OO,3358,559,1,2.813226094727435,-1.7385991058122205
LAX,SMF,OO,3357,671,1,3.793802145411204,0.7303906949000895
LAX,JFK,DL,3340,1318,12,16.500901442307693,7.210510419812746
JFK,LAX,DL,3339,1125,11,12.793393393393393,3.495332731105089
ATL,LAS,DL,3336,1245,23,8.959855116208875,4.549576783555018
LAS,ATL,DL,3334,1291,28,9.153055051421658,0.908373786407767
SFO,DEN,UA,3332,1268,34,11.47847180109157,1.1256464861575906
DEN,SFO,UA,3330,1578,43,17.0522955305564,11.617423088638441
ORD,DCA,UA,3329,1197,49,11.493300852618757,7.220759338640539
DCA,ORD,UA,3328,818,53,8.166870042708968,4.615784643621903
SFO,EWR,UA,3327,1695,61,21.824862216778936,9.39075500770416
EWR,SFO,UA,3325,1623,71,24.899048787971772,15.406153846153845
LAS,SJC,WN,3324,1616,15,10.452402538531278,0.7246070133010882
SJC,LAS,WN,3315,1341,19,9.576456310679612,3.684769417475728
JFK,LAX,B6,3302,1000,14,9.215632603406325,-4.3855054811205845
LAX,JFK,B6,3300,931,15,7.648508825319538,-3.0777709736680956
DCA,DFW,AA,3293,1173,53,18.895679012345678,9.439304563800063
DFW,DCA,AA,3291,1626,51,20.987349583461896,12.589002795899347
DEN,DAL,WN,3287,1910,54,15.107330652644603,9.886024844720497
DAL,DEN,WN,3283,1681,42,13.988892317186053,7.510046367851623
SNA,SFO,OO,3280,1320,46,15.44774273345702,17.20447482908639
LAX,JFK,AA,3275,802,17,16.58453513347653,5.6748920419494135
JFK,LAX,AA,3274,686,14,5.228177641653905,-8.065457897971728
SFO,SNA,OO,3262,1153,48,9.936527691350342,6.347148644437519
RNO,LAS,WN,3255,1190,21,8.912801484230055,4.047339108910891
LAS,RNO,WN,3242,1668,18,13.590204587724736,4.5702299564947175
MIA,CLT,AA,3231,1491,40,19.245306633291616,15.44001256281407
CLT,MIA,AA,3225,1641,42,18.07535321821036,12.79690949227373
CLT,PHL,AA,3219,1667,48,20.288818897637796,17.238787113076437
PHL,CLT,AA,3216,1254,47,19.42541784925891,12.866266202971863
BUR,LAS,WN,3210,1231,42,9.498895550646893,4.20397852857594
LAX,DEN,UA,3210,831,55,7.330481622306717,-0.6819047619047619
DEN,LAX,UA,3207,1208,57,11.275150745794985,5.912035566846618
BNA,DFW,AA,3204,1367,96,26.445837351333978,23.157470151661826
DFW,BNA,AA,3203,1613,92,23.973025048169557,20.149662053427743
EWR,LAX,UA,3194,1459,66,21.696582561481954,13.378967617826227
LAX,EWR,UA,3194,1247,67,15.571884984025559,3.5789980732177264
SEA,GEG,OO,3193,894,4,6.253998118532455,2.9400690304361468
GEG,SEA,OO,3192,664,4,2.8735884567126724,0.22278004392845938
ATL,MSY,DL,3187,1118,29,11.063587472318886,9.005716100349318
MIA,LGA,AA,3186,1701,82,20.220295439948618,13.275716145833334
LGA,MIA,AA,3186,1116,83,15.96423969072165,6.895145631067961
MSY,ATL,DL,3185,1105,30,10.386248415716096,5.744761904761905
CLT,LGA,AA,3180,1594,54,21.91661341853035,20.46941403734707
LGA,CLT,AA,3175,1003,58,16.026585522101218,7.734811957569913
LAS,BUR,WN,3171,1540,32,13.227316141356257,4.146964856230032
MIA,ATL,DL,3160,1561,22,21.349267049075845,18.32992980216975
COS,DEN,OO,3160,699,43,8.18222649983959,0.6826212656601349
DEN,COS,OO,3160,1178,45,12.385182809493266,5.158571888066903
ATL,MIA,DL,3159,1422,21,15.717654557042703,13.44675407739047
SAN,OAK,WN,3158,1439,33,11.22304,7.44234465086483
SFO,IAH,UA,3154,1265,58,11.470303421562297,0.7806619078520441
IAH,SFO,UA,3153,1750,55,20.60406582768635,14.591863093316112
PHX,SAN,WN,3140,1614,20,12.866154338776818,7.640630022500804
SAN,PHX,WN,3132,1437,43,11.038187702265372,5.7755829015544045
CLT,ORD,AA,3131,1488,26,18.933977455716587,13.095222724338283
ORD,CLT,AA,3128,1140,27,19.560425394779244,16.38416801292407
PHL,DFW,AA,3126,1227,47,18.360714285714284,9.07878391631252
ATL,MSP,DL,3121,1187,11,9.143729903536977,1.4813144329896908
DFW,SAN,AA,3121,1692,57,23.153294194390085,18.79430068784802
SAN,DFW,AA,3118,1207,58,22.101860920666013,17.18871020676075
MSP,ATL,DL,3117,1176,10,8.616993884776312,0.061895551257253385
DFW,PHL,AA,3116,1572,49,21.178827361563517,14.441723800195886
SEA,BOI,OO,3115,857,4,5.483767277402764,3.067524115755627
BOI,SEA,OO,3111,672,4,3.641132925651754,1.7080244924266839
EWR,DEN,UA,3103,1222,87,15.41801921165949,5.8436980379115395
DEN,EWR,UA,3097,1438,88,21.355031550979742,12.874916387959866
ORD,LAX,UA,3096,1422,57,15.638486842105262,6.662602965403624
LAX,ORD,UA,3094,912,59,8.111989459815547,-1.116517709367759
DAL,PHX,WN,3089,1643,29,14.609803921568627,7.686601307189543
PHX,DAL,WN,3088,1696,38,12.767868852459017,5.949308755760368
OAK,SAN,WN,3077,1428,33,11.802890932982917,8.39064558629776
LGA,DCA,YX,3074,538,70,3.2641196013289036,-3.8569523174391462
DCA,LGA,YX,3071,618,75,6.533333333333333,1.9415302372201804
DEN,DFW,AA,3053,1130,75,19.840214837193688,16.174250084260194
DFW,DEN,AA,3052,1531,72,21.171418986917143,16.33355749831876
PHX,CLT,AA,3044,935,19,6.744132231404959,-1.365684001324942
CLT,PHX,AA,3038,1524,19,17.355960264900663,8.79628400796284
ATL,EWR,DL,3031,1211,30,15.705529646902065,15.844839142091153
EWR,ATL,DL,3030,1356,31,18.21,13.220848646842633
PDX,SEA,OO,3021,731,20,5.819726757747418,3.22196261682243
ATL,CLT,DL,3015,849,21,7.3710754843019375,3.5770645269140755
SEA,PDX,OO,3013,889,18,6.100500834724541,3.489141329769462
ATL,BNA,DL,3010,907,25,7.4120603015075375,4.322710499832271
BNA,ATL,DL,3008,685,26,4.839369550637156,0.7351460221550856
SEA,PHX,AS,3000,1220,52,7.447761194029851,5.226748133061779
CLT,ATL,DL,2996,1098,21,12.338487394957983,4.768920282542886
PHX,SEA,AS,2995,1008,47,5.609359104781282,4.792600135777326
SFO,LAX,UA,2979,1059,60,9.090099349092155,2.629667694415896
LAX,SFO,UA,2978,1009,61,11.237410071942445,10.770233196159122
SLC,ATL,DL,2977,1287,17,11.483783783783784,0.003046716316858497
SFO,DFW,AA,2974,1327,47,25.12606764605398,16.868953687821612
DFW,SFO,AA,2973,1749,47,26.942261701400753,23.126196990424077
ATL,SLC,DL,2969,1131,18,9.86454453098544,0.08723693143245079
ORD,PHX,AA,2956,1165,15,21.39232336956522,13.788828337874659
PHX,ORD,AA,2952,1089,16,13.05720122574055,4.0568104038329915
LAS,DAL,WN,2943,1583,33,13.599106836138784,7.302381774249223
OAK,BUR,WN,2934,1076,30,8.087121212121213,-0.4503105590062112
DAL,LAS,WN,2931,1603,26,15.251979345955249,7.504650361694798
JFK,MIA,AA,2927,1038,49,14.46907574704656,6.557880055788005
MIA,JFK,AA,2926,1489,49,20.710809871393813,11.213314743813175
ATL,BHM,DL,2920,814,25,7.6193436960276335,4.199723565998617
BUR,OAK,WN,2920,948,36,6.644020797227037,-1.1657995143947277
BHM,ATL,DL,2918,711,26,6.279986173522295,1.1947423037011415
ATL,AUS,DL,2917,1058,30,9.919986144786977,8.961858529819695
PHL,ATL,DL,2917,1119,17,11.906583936573595,2.2860103626943005
ATL,PHL,DL,2916,1186,17,11.521904104863745,9.61105354058722
AUS,ATL,DL,2916,1130,30,10.81947331947332,3.204301075268817
ATL,DEN,DL,2903,1011,24,8.335880514067384,4.029637377963738
DEN,ATL,DL,2902,1165,23,10.162847222222222,1.5265901981230448
ATL,BWI,DL,2892,1109,21,11.058516196447231,9.71039776692254
BWI,ATL,DL,2891,1223,21,10.500348432055748,4.2527050610820245
ATL,MEM,DL,2873,844,32,5.933474128827878,2.2755461592670896
MEM,ATL,DL,2872,659,33,4.575907009510391,-1.7686067019400353
SAN,SEA,AS,2871,926,63,7.5338078291814945,6.7317420733879585
ORD,MIA,AA,2870,1234,30,14.187323943661973,8.961103253182461
MIA,ORD,AA,2868,1235,29,17.705033438929956,8.312698974177573
SEA,SAN,AS,2867,1166,55,8.354907539118065,5.913105413105413
ORD,LAX,AA,2859,1312,18,19.161744022503516,10.727946365561044
LAX,ORD,AA,2855,1161,18,21.589002467395137,12.282323769040028
BOS,CLT,AA,2853,874,33,12.486524822695035,2.677430801987225
ASE,DEN,OO,2852,944,175,19.423234964512513,14.201271979049757
CLT,BOS,AA,2851,1426,30,20.95572086432873,15.76038338658147
DEN,ASE,OO,2848,1142,165,22.20318872821654,16.27399322544223
MDW,LAS,WN,2848,1545,30,13.974804826117815,3.3573712255772645
SEA,SFO,AS,2841,1505,64,14.777617848146816,16.182931220741807
LAS,MDW,WN,2838,1617,25,14.159971560611448,3.724187209717756
BOS,EWR,UA,2837,860,82,12.196447988401594,5.979651162790698
SFO,SEA,AS,2836,1246,79,13.3535170413343,10.264513788098693
EWR,BOS,UA,2836,1052,70,16.18440996030314,11.796021699819168
SAV,ATL,DL,2835,983,21,7.173001776198935,1.24119530416222
ATL,SAV,DL,2835,843,19,7.599431818181818,5.144788331554607
MIA,LAX,AA,2820,1592,21,24.344285714285714,17.49176807444524
MDW,PHX,WN,2820,1546,26,13.403722261989978,4.601433691756273
SEA,LAS,AS,2817,1260,46,10.760187522538766,8.514987360057782
LAX,MIA,AA,2817,1329,23,17.595348837209304,8.820236813778257
LAS,SEA,AS,2814,1106,51,10.412870571221982,7.0014487504527345
DEN,MDW,WN,2812,1563,41,14.333092746300974,6.484442836468886
MDW,DEN,WN,2804,1362,39,11.9500904159132,1.1515041681768756
PHX,MDW,WN,2801,1758,22,12.922993882691616,4.412020275162925
MIA,MCO,AA,2795,1326,61,23.327850877192983,18.42255584035152
MCO,MIA,AA,2795,1162,62,18.634467618002194,13.37934822409374
ATL,CHS,DL,2792,832,20,7.1327082582041115,5.225189462287982
CHS,ATL,DL,2790,896,21,7.210108303249098,2.7522571325388228
ATL,DFW,DL,2789,1212,28,12.236146323795726,12.004008746355685
DFW,ATL,DL,2789,1192,26,16.372783206659427,8.989855072463769
DFW,SGF,MQ,2786,855,51,8.817086527929902,6.310964429776311
SGF,DFW,MQ,2785,1060,52,13.953564899451553,10.638095238095238
SEA,DFW,AA,2730,1113,49,18.276762402088774,9.758633633633634
DFW,SEA,AA,2728,1483,45,21.660454714871413,12.742345033607169
PBI,EWR,UA,2728,944,100,17.374524714828897,8.971734148204737
EWR,PBI,UA,2728,925,97,11.80212685150019,3.9134908536585367
DAL,SAT,WN,2725,1221,33,10.919019316493314,4.621330360460795
SAT,DAL,WN,2721,1083,32,10.064684014869888,3.7002978406552494
DEN,SLC,WN,2715,1649,17,15.258710155670867,7.879080118694362
PHL,ORD,AA,2710,985,37,18.097087378640776,8.998875140607424
ORD,PHL,AA,2710,1177,37,25.36285500747384,24.14066016504126
SNA,SJC,WN,2704,954,19,6.415115413253909,-2.151582867783985
SJC,SNA,WN,2704,903,24,5.556135770234987,-3.3751399776035833
SEA,SNA,AS,2704,837,26,3.424310216256525,-1.1961077844311376
SLC,DEN,WN,2704,1425,14,11.257992565055762,4.391952309985097
CMH,LGA,YX,2704,451,49,2.3493794659646485,-0.8
SNA,SEA,AS,2700,789,37,2.9692307692307693,-0.04849624060150376
LGA,CMH,YX,2699,434,46,2.0327313769751694,-7.016974726518295
ATL,RSW,DL,2697,909,41,10.229668674698795,7.64261428031734
DFW,SNA,AA,2696,1124,46,15.158490566037736,5.935960591133005
LAX,LAS,WN,2695,1492,9,14.662323157110945,8.88268156424581
RSW,ATL,DL,2695,617,43,7.799773755656108,4.336603773584906
SNA,DFW,AA,2695,891,48,15.540581351453378,5.659445077917142
DAL,MCO,WN,2694,1427,55,16.058734369079197,11.620007607455307
MCO,DAL,WN,2686,1580,50,16.275037936267072,13.134044173648133
CLT,LAX,AA,2665,1454,19,18.883308157099698,9.946252838758516
LAX,CLT,AA,2664,998,19,12.008695652173913,1.6283219438116932
SMF,BUR,WN,2652,981,32,9.241892407478062,2.526073619631902
LAS,LAX,WN,2650,1677,6,15.665279878971255,8.731845688350983
EWR,FLL,UA,2648,987,91,14.009777082518577,5.966705836271053
FLL,EWR,UA,2648,879,85,13.800779727095517,5.52295017653982
BUR,SMF,WN,2640,854,34,6.113924050632911,-1.5184190330007674
BWI,FLL,WN,2634,1533,39,17.097880539499037,9.520833333333334
FLL,BWI,WN,2634,1226,47,13.3831595210506,8.9198606271777
CLT,FLL,AA,2619,1258,40,18.740597130670803,14.5998445998446
FLL,CLT,AA,2618,937,43,20.00930593253199,16.31152647975078
BWI,TPA,WN,2617,1404,61,15.273082942097027,7.500392464678179
TPA,BWI,WN,2613,1078,62,10.89298314386515,4.990196078431373
MCO,MDW,WN,2598,1419,55,15.287848997247346,9.039510075069142
JFK,BOS,B6,2597,1282,58,24.792044111855063,16.795347003154575
BOS,PHL,AA,2596,772,39,18.50175849941383,10.729549902152641
PHL,BOS,AA,2596,1077,42,19.570144587729583,14.754014884449667
BOS,JFK,B6,2583,1087,48,16.472813238770687,10.220205209155486
JFK,MCO,B6,2580,1407,48,23.877567140600316,14.307448494453249
MCO,JFK,B6,2573,1276,62,25.739545997610513,19.544475468687676
MDW,MCO,WN,2573,1263,49,13.181458003169572,7.085157182650219
ORD,LGA,AA,2570,1018,52,21.049485352335708,20.288676236044658
LGA,ORD,AA,2570,778,53,16.834458118300912,11.1671974522293
ATL,DFW,AA,2567,1008,56,22.85025886101155,19.1456
DFW,ATL,AA,2564,1319,56,23.06889685384309,17.152555910543132
DCA,ORD,AA,2561,747,29,15.579778830963665,6.835573122529644
DFW,MAF,MQ,2559,793,50,9.580478087649402,7.045109780439121
MAF,DFW,MQ,2558,859,52,11.971303308090873,9.591526778577139
ORD,DCA,AA,2555,945,38,24.541484716157207,23.0132
PNS,ATL,DL,2554,448,19,2.668639053254438,-2.904423380726698
ATL,PNS,DL,2554,700,18,7.569400630914826,5.746250986582479
SNA,LAS,WN,2551,1218,19,10.77132701421801,3.86216429699842
LAS,EWR,UA,2551,933,44,12.982868525896414,2.6378683891804604
LAS,SNA,WN,2550,1410,12,13.65,3.6394799054373523
EWR,LAS,UA,2547,875,42,10.990438247011951,1.3872
CLT,DCA,AA,2546,1270,27,21.15204446208813,19.64942300039793
DCA,CLT,AA,2546,907,30,18.73838824930528,13.279634049323787
OAK,LAX,WN,2532,1100,19,9.264623955431755,0.5435734182252288
JFK,BOS,YX,2528,503,56,6.242118027485853,1.0825242718446602
BOS,JFK,YX,2527,572,58,4.7871307163091865,0.3442689347914135
LAS,DEN,UA,2522,686,32,9.067789811472123,2.9062374245472835
LAX,OAK,WN,2521,1129,28,9.305010020040081,-0.2980344965904533
DEN,LAS,UA,2521,979,25,13.282451923076923,9.826853707414829
AUS,DAL,WN,2513,1001,35,9.779257465698144,3.6022635408245756
DAL,AUS,WN,2510,1071,31,11.203307785397337,5.986682808716707
DFW,IAH,AA,2501,1390,81,28.050763516302105,24.300082781456954
IAH,DFW,AA,2501,1013,86,28.74803475382706,23.49108992954828
IAH,MSY,UA,2497,940,59,14.837161607875307,10.225236333744348
MSY,IAH,UA,2495,641,66,9.183052241875771,4.975257731958763
PHX,PHL,AA,2494,777,23,8.117718446601941,1.2686385737439223
PHL,PHX,AA,2492,931,23,12.61326860841424,2.6114494518879416
BWI,BOS,WN,2487,1529,27,17.98132358911896,9.81929181929182
MSY,DFW,AA,2486,1008,57,26.745267489711935,25.860790774299836
DFW,MSY,AA,2484,1288,56,23.575894693541752,20.761157024793388
SAN,DEN,WN,2481,1305,23,14.717656631407648,6.874439461883408
ATL,RIC,DL,2480,898,16,9.801136363636363,8.493706861550955
RIC,ATL,DL,2479,801,17,8.357432981316004,1.897238017871649
DEN,AUS,WN,2479,1273,23,11.3807003257329,6.593954248366013
HOU,DEN,WN,2474,1144,27,11.707107843137255,1.4615069615069616
AUS,DEN,WN,2472,1096,21,9.936352509179926,2.1438496117695136
BOS,BWI,WN,2469,1128,24,12.407361963190183,2.9652067130577158
ATL,JFK,DL,2460,1211,9,14.347205222358221,6.819893573475236
JFK,ATL,DL,2460,1000,9,14.536515707874337,4.987745098039215
GSP,ATL,DL,2453,495,20,3.794987674609696,-4.601398601398602
ATL,GSP,DL,2453,638,19,5.7941659819227604,0.8460905349794239
ATL,CVG,DL,2452,702,15,7.37217890849405,4.213640098603123
DEN,SAN,WN,2451,1454,23,15.887608069164266,9.89301941346551
CVG,ATL,DL,2450,761,15,7.019712525667351,-0.28213552361396305
DEN,MCI,WN,2450,1269,23,12.507622579316028,6.737407101568952
MCI,DEN,WN,2448,1085,29,9.550227366680446,4.180538302277433
CLT,GSP,OH,2445,753,16,10.834979423868313,8.349670510708401
GSP,CLT,OH,2443,715,13,9.314814814814815,9.046521202140799
DFW,CRP,MQ,2440,662,44,7.548831385642738,4.587129126619306
CRP,DFW,MQ,2439,660,48,8.701798410706818,7.2076182503139385
ORD,ATL,DL,2436,1036,17,14.993799090533278,9.555877483443709
ATL,ORD,DL,2436,947,17,11.183133526250517,8.967634854771784
ATL,SDF,DL,2435,681,19,6.216059602649007,2.642323651452282
PHL,MCO,AA,2435,1018,45,15.965762004175366,9.053758924821503
SDF,ATL,DL,2435,471,22,4.541010770505385,-2.593944421401908
MCO,PHL,AA,2433,943,48,19.98826487845767,16.643427131457372
LAX,SLC,DL,2433,683,14,4.300124018189335,-4.853476821192053
DEN,HOU,WN,2431,1378,29,14.170691090757702,8.180293501048219
SLC,LAX,DL,2431,932,13,7.873035566583954,0.8316790736145575
MIA,PHL,AA,2430,1150,45,21.24633431085044,14.215694502727654
PHL,MIA,AA,2424,958,45,16.80453972257251,8.963697762769101
DFW,XNA,MQ,2424,714,28,7.263772954924875,3.1468619246861924
XNA,DFW,MQ,2423,866,28,15.513152400835073,13.923590814196242
SEA,ATL,DL,2418,1064,21,12.761368377138089,4.284461152882206
ATL,SEA,DL,2417,1001,20,10.27450980392157,-1.8247078464106845
GSO,ATL,DL,2415,536,16,4.649437265527303,-3.7269695706544392
ATL,GSO,DL,2415,578,15,4.826666666666667,-0.07804674457429048
ORD,MKE,OO,2414,1063,27,20.694723618090453,17.698406040268456
MKE,ORD,OO,2414,797,39,15.402105263157894,10.512421052631579
IND,ATL,DL,2413,672,14,9.94122551062943,3.382463465553236
ATL,IND,DL,2413,706,14,7.34722801167153,4.280467445742905
BNA,DAL,WN,2412,1192,29,12.813680234997902,6.357504215851602
MDW,LGA,WN,2411,1256,59,14.52803738317757,7.745524296675192
LGA,MDW,WN,2411,1263,65,14.570272572402045,2.670794192997438
DFW,TPA,AA,2411,1250,81,22.78344768439108,18.583620689655174
TPA,DFW,AA,2411,953,83,21.843642611683848,18.64950237992211
DAL,BNA,WN,2405,1206,26,11.814207650273223,6.253052631578948
ATL,ORF,DL,2403,860,24,11.35645229087852,10.50337552742616
ORF,ATL,DL,2402,1052,24,12.915090374106768,6.198061525495154
BNA,DEN,WN,2399,1196,24,10.207578947368422,1.4250738708315744
CLE,ATL,DL,2397,825,19,9.125735912531539,-1.2795789473684211
ATL,CLE,DL,2397,777,17,8.753464930701385,4.780487804878049
STL,DEN,WN,2395,1185,17,10.961312026913372,2.872842105263158
TPA,EWR,UA,2393,689,97,14.856894301870378,7.75556525534701
EWR,TPA,UA,2391,805,92,12.511739130434783,4.579773321708806
CLT,RIC,AA,2383,1140,28,23.448641765704583,20.42911877394636
RIC,CLT,AA,2383,819,33,19.747341556784345,15.21696504688832
IAD,DEN,UA,2381,856,47,14.446489726027398,5.065693430656935
BOS,DFW,AA,2379,883,37,16.563620836891545,3.527382492453644
